,service_name,va_facility
0,Ethics Consultation Service,alaska
1,Mental Health,alaska
2,Patient Representative - Anchorage,alaska
3,Pharmacy,alaska
4,Rural Health,alaska
5,Voluntary Service Office,alaska
6,Adult Day Health Care,albany
7,Agent Orange Registry Exams,albany
8,Alzheimers Disease and Dementia Care,albany
9,Anesthesiology,albany
10,Audiology & Speech Pathology,albany
11,Cancer Care / Oncology,albany
12,Cardiology,albany
13,Chaplain,albany
14,Chiropractic Care,albany
15,Community Living Center and Community Nursing Home,albany
16,Compensation and Pension Exams,albany
17,Diabetes,albany
18,Dialysis,albany
19,Eye and Vision Care,albany
20,Fee Basis/Fee Service,albany
21,Gynecology Womens Health,albany
22,HIV and AIDS Treatment,albany
23,Home Based Primary Care,albany
24,Home Telehealth,albany
25,Homemaker and Home Health Aide Program,albany
26,Hospice and Palliative Care,albany
27,Lab and Pathology Services,albany
28,MOVE! Weight Management Program,albany
29,Mammography,albany
30,Medications,albany
31,Mental Health,albany
32,Military Sexual Trauma Counseling,albany
33,Nutrition and Food Services,albany
34,OEF  OIF  OND Veterans Point of Contact,albany
35,Occupational Therapy and Physical Medicine,albany
36,Ophthalmology,albany
37,Pain Management,albany
38,Podiatry,albany
39,Polytrauma Program,albany
40,Posttraumatic Stress Disorder (PTSD),albany
41,Primary Care,albany
42,Prosthetics and Sensory Aids,albany
43,Radiology and Diagnostic Imaging,albany
44,Spinal Cord Injury and Disorders,albany
45,Substance Abuse Services,albany
46,Telehealth,albany
47,Urology,albany
48,Vision Rehabilitation Services,albany
49,Admissions,albuquerque
50,Caregiver Support Coordinator,albuquerque
51,Chaplain Service,albuquerque
52,Community Mental Health Point of Contact,albuquerque
53,Compensation & Pension,albuquerque
54,Decedent Affairs,albuquerque
55,Emergency Department,albuquerque
56,Enrollment,albuquerque
57,Former Prisoner of War Advocate,albuquerque
58,Homeless Program Coordinator,albuquerque
59,Military Sexual Trauma,albuquerque
60,My HealtheVet,albuquerque
61,Nutrition and Food Service,albuquerque
62,Pathology and Laboratory,albuquerque
63,Patient Health Education,albuquerque
64,Patient Travel,albuquerque
65,Pharmacy,albuquerque
66,Privacy Office and Freedom of Information Act (FOIA),albuquerque
67,Public Affairs,albuquerque
68,Recreation Therapy,albuquerque
69,Release of Information,albuquerque
70,Research,albuquerque
71,Returning Service Members,albuquerque
72,VA Police,albuquerque
73,Veteran Service Organizations,albuquerque
74,Veterans Justice Outreach,albuquerque
75,Voluntary Service,albuquerque
76,Women Veterans Health Program,albuquerque
77,Pharmacy,alexandria
78,Services,alexandria
79,Behavioral Health,altoona
80,Long Term Care,altoona
81,Pharmacy,altoona
82,Primary Care,altoona
83,Social Work,altoona
84,Specialty,altoona
85,Advance Directives,amarillo
86,Advanced Low Vision Clinic,amarillo
87,Call Center,amarillo
88,Call Center,amarillo
89,Cancer Care,amarillo
90,Caregiver Support Program,amarillo
91,Community Based Outpatient Clinics,amarillo
