,description,link,location,phone,service_name,va_facility
0,"When there is uncertainty or conflict about the right thing to do, ethics consultants work with patients, families and staff to help them to resolve these concerns.",http://www.alaska.va.gov/services/Ethics_Consultation.asp,Alaska VA Healthcare System,907-257-7464,Ethics Consultation Service,alaska
1,"The mental health service provides consultation, evaluation, and treatment for a variety of issues that can impact emotional well-being.",http://www.alaska.va.gov/services/mentalhealth.asp,Alaska VA Healthcare System,907-257-4700,Mental Health,alaska
2,,http://www.alaska.va.gov/services/Patient_Representative_Anchorage.asp,Anchorage,907-257-5449,Patient Representative - Anchorage,alaska
3,"The Alaska VA Healthcare System pharmacy processes nearly 1,000 prescriptions daily.",http://www.alaska.va.gov/services/pharmacy.asp,Outpatient Pharmacy,877-750-4790 Ext. Refill _ Renew  907-257-4805 Ext. Pharmacy Dep,Pharmacy,alaska
4,The Alaska VA Healthcare System has expanded health care access to rural areas including 229 Tribes.,http://www.alaska.va.gov/services/Rural_Health.asp,"1201 North Muldoon Road, Anchorage",970-257-5460,Rural Health,alaska
5,Volunteers provide many important functions throughout the VA Clinic and help make the Veteran visit more enjoyable.,http://www.alaska.va.gov/services/Voluntary_Service_Office.asp,Alaska VA Healthcare System,907-257-4839,Voluntary Service Office,alaska
6,Adult Day Health Care provides for general health care and social needs of Veteran patients,http://www.albany.va.gov/services/Adult_Day_Health_Care.asp,7C,518-626-6041  518-626-6020,Adult Day Health Care,albany
7,The Agent Orange Registry health exam screens Veterans for possible long-term health problems that may be related to Agent Orange exposure during their military service.,http://www.albany.va.gov/services/Agent_Orange_Registry_Exams.asp,A1105b,518-626-6718  518-626-6719,Agent Orange Registry Exams,albany
8,Alzheimers and dementia care help diagnose and manage these diseases which affect the brain.,http://www.albany.va.gov/services/Alzheimer_s_Disease_and_Dementia_Care.asp,7C,518-626-6051  518-626-6047,Alzheimers Disease and Dementia Care,albany
9,Anesthesiology provides a range of anesthesiology support and consultation services for surgical services and surgical procedures.,http://www.albany.va.gov/services/Anesthesiology.asp,7A,518-626-6598,Anesthesiology,albany
10,Audiology professionals evaluate and treat hearing. Speech pathology professionals evaluate and treat disorders in speech.,http://www.albany.va.gov/services/Audiology_Speech_Pathology.asp,5A,518-626-5820,Audiology & Speech Pathology,albany
11,"The Oncology Service employs the latest technologies, skilled medical professionals to care for the body, mind and total well-being of patients diagnosed with cancer.",http://www.albany.va.gov/services/Cancer_Care_Oncology.asp,7A,518-626-6415,Cancer Care / Oncology,albany
12,Cardiology provides a broad range of tertiary cardiac services.,http://www.albany.va.gov/services/Cardiology.asp,A830,518-626-6463,Cardiology,albany
13,VA Chaplains support patients and families by providing spiritual guidance.,http://www.albany.va.gov/services/Chaplain.asp,1104 Core,518-626-5751,Chaplain,albany
14,Albany Stratton VA Medical Center offers chiropractic care that treats the body as a whole.,http://www.albany.va.gov/services/Chiropractic_Care.asp,Albany Stratton VA Medical Center,518-626-5000,Chiropractic Care,albany
15,"Community Living Center care strives to restore the resident to maximum function, prevent further decline and maximize independence.",http://www.albany.va.gov/services/Community_Living_Centers_and_Nursing_Home.asp,"Community Living Center 9B Heroes Way and 9C Victory Lane,Community Nursing Home Care 8A",518-626-6101  518-626-6061,Community Living Center and Community Nursing Home,albany
16,Albany Stratton VA Medical Center administers compensation and pension exams for Veterans who have claims with the Veterans Benefits Administration,http://www.albany.va.gov/services/Compensation_and_Pension_Exams.asp,A1105b,518-626-6718,Compensation and Pension Exams,albany
17,VA Health Care Upstate New York offers diabetes screenings and resources for all Veterans to help manage diabetes or prediabetes.,http://www.albany.va.gov/services/Diabetes.asp,7A,518-626-6415,Diabetes,albany
18,The dialysis service at Albany Stratton VA Medical Center provides care to Veterans with compromised kidney function.,http://www.albany.va.gov/services/Dialysis.asp,2D,518-626-6509,Dialysis,albany
19,Albany Stratton VA Medical Center delivers eye and vision care in several specialties.,http://www.albany.va.gov/services/Eye_and_Vision_Care.asp,5C,518-626-5850,Eye and Vision Care,albany
20,The Fee Basis VA program allows Veterans to be seen by a community provider.,http://www.albany.va.gov/services/Fee_Basis_Fee_Service.asp,Albany VA main campus,800-396-7929,Fee Basis/Fee Service,albany
21,"Womens health services, including obstetrics and gynecology, are provided through the Womens Wellness Center.",http://www.albany.va.gov/services/Obstetrics_and_Gynecology.asp,8D,518-626-5968,Gynecology Womens Health,albany
22,"Albany Stratton VA Medical Center can provide medications, treatments and support to help Veterans manage HIV and live a full life.",http://www.albany.va.gov/services/HIV_and_AIDS_Treatment.asp,7A,518-626-6415,HIV and AIDS Treatment,albany
23,"Home based primary care is a group effort between the Veteran, family, caregiver and VA",http://www.albany.va.gov/services/Home_Based_Primary_Care.asp,8A,518-626-6006  518-626-6002,Home Based Primary Care,albany
24,"To explore the possibility of using in home telehealth to coordinate health care, contact our office or speak with a primary care provider about the service.",http://www.albany.va.gov/services/Home_Telehealth.asp,7C,518-626-6001  518-626-6047,Home Telehealth,albany
25,"Through the Homemaker and Home Health Aide Program, VA pays for homemaker and home health aide assistance for Veterans.",http://www.albany.va.gov/services/Homemaker_and_Home_Health_Aide_Program.asp,8A,518-626-6061  518-626-6010,Homemaker and Home Health Aide Program,albany
26,"For patients who are facing serious medical conditions, Albany Stratton VA Medical Center offers palliative and hospice care to ease the physical and emotional symptoms.",http://www.albany.va.gov/services/Hospice_and_Palliative_Care.asp,7C,518-626-6090  518-626-6008,Hospice and Palliative Care,albany
27,The Laboratory and Pathology services at Albany Stratton VA Medical Center provide a full range of diagnostic services.,http://www.albany.va.gov/services/Lab_and_Pathology_Services.asp,2B,518-626-5765  518-626-5750,Lab and Pathology Services,albany
28,VAs MOVE weight management program encourages Veterans to lose weight and live healthier.,http://www.albany.va.gov/services/MOVE_Weight_Management_Program.asp,B311a,518-626-6871  877-619-0106 Ext. option 1,MOVE! Weight Management Program,albany
29,"To screen for breast cancer, Albany Stratton VA Medical Center provides free mammograms for all enrolled women Veterans",http://www.albany.va.gov/services/Mammography.asp,2A,518-626-6350,Mammography,albany
30,Albany Stratton VA Medical Center operates a full service inpatient and outpatient pharmacy to meet the medication needs of the Veterans we serve.,http://www.albany.va.gov/services/pharmacy.asp,Albany VA main campus lobby,800-585-9772,Medications,albany
31,The Behavioral Health Care Line at Albany Stratton VA Medical Center serves Veterans in inpatient and outpatient settings to help them achieve a full and fulfilling life.,http://www.albany.va.gov/services/Mental_Health.asp,1012 Core,518-626-5343,Mental Health,albany
32,"To help Veterans recover from military sexual trauma, VA provides  counseling and treatment for mental and physical health related to experiences of MST.",http://www.albany.va.gov/services/Military_Sexual_Trauma_Counseling.asp,10D,518-626-5372,Military Sexual Trauma Counseling,albany
33,"Albany Stratton VA Medical Center offers comprehensive nutrition services, including nutrition assessment and diet instruction.",http://www.albany.va.gov/services/Nutrition_and_Food_Services.asp,402B,518-626-6871,Nutrition and Food Services,albany
34,VA is here to deliver the benefits you have earned and help you make the transition back to civilian life.,http://www.albany.va.gov/services/OEF_OIF_OND_Veterans_Point_of_Contact.asp,Albany VA main campus 10D,518-626-6962,OEF  OIF  OND Veterans Point of Contact,albany
35,"The purpose of physical and occupational therapy is to help Veterans return to a full life after an injury, surgery or disability.",http://www.albany.va.gov/services/Occupational_Therapy_and_Physical_Medicine.asp,3D,518-626-5800,Occupational Therapy and Physical Medicine,albany
36,Ophthalmology Service provides comprehensive eye and vision care.,http://www.albany.va.gov/services/Ophthalmology.asp,5C,518-626-5850,Ophthalmology,albany
37,Pain Management  is a specialty program works in collaboration with primary care to ensure efficient and effective management of chronic pain.,http://www.albany.va.gov/services/Pain_Management.asp,5 Core,518-626-5000,Pain Management,albany
38,Podiatric Surgery provides total foot and ankle care to Veterans.,http://www.albany.va.gov/services/Podiatry.asp,Albany VA main campus 5D,518-626-6530,Podiatry,albany
39,VA Polytrauma System of Care provides high quality interdisciplinary care to patients.,http://www.albany.va.gov/services/Polytrauma_Program.asp,Albany VA main campus B309,518-626-5366,Polytrauma Program,albany
40,The behavioral health care staff is here to help Veterans and their families manage and overcome the symptoms of posttraumatic stress disorder.,http://www.albany.va.gov/services/Posttraumatic_Stress_Disorder_PTSD.asp,Albany VA main campus 10D,518-626-5436,Posttraumatic Stress Disorder (PTSD),albany
41,Primary care provides comprehensive diagnostic and treatment services for a wide variety of illness and injury.,http://www.albany.va.gov/services/Primary_Care.asp,"Blue Team, 1CRed Team, 4C",518-626-6500  518-626-6330,Primary Care,albany
42,"Prosthetics and Sensory Aids Service is esponsible for providing medically prescribed equipment, supplies, devices, and prosthetic and orthotic services.",http://www.albany.va.gov/services/Prosthetics_and_Sensory_Aids_Service.asp,Albany VA main campus A311,518-626-5826,Prosthetics and Sensory Aids,albany
43,The Radiology and Diagnostic Imaging Service at Albany Stratton VA Medical Center uses some of the most advanced imaging devices available.,http://www.albany.va.gov/services/Radiology_and_Diagnostic_Imaging.asp,Albany VA main campus 2A,518-626-6350,Radiology and Diagnostic Imaging,albany
44,Spinal Cord Injury and Disorders program provides a number of inpatient and outpatient services to meet the needs of Veterans with spinal cord injury.,http://www.albany.va.gov/services/Spinal_Cord_Injury_and_Disorders.asp,"Albany VA, 1C, Office C108",518-626-6488,Spinal Cord Injury and Disorders,albany
45,Our Substance Abuse Programs offer encouragement and support to help break free from addiction to alcohol and other substances.,http://www.albany.va.gov/services/Substance_Abuse_Services.asp,Albany VA 10C,518-626-5388  518-626-5386,Substance Abuse Services,albany
46,Telehealth provides easier access to health care through the use of new technology.,http://www.albany.va.gov/services/Telehealth.asp,Albany VA main campus,518-626-5501,Telehealth,albany
