facility_id,official_station_name,location_descriptive_name_common_name,classification,street_address,suite_building_number,city,state,zip_code,station_phone_number,station_fax_number,after_hours_phone_number,pharmacy_phone_number,enrollment_coordinator_phone_number,patient_advocate_phone_number,latitude,longitude,monday_hours,tuesday_hours,wednesday_hours,thursday_hours,friday_hours,saturday_hours,sunday_hours,hours_note
402,Togus VA Medical Center,Togus,VA Medical Center (VAMC),1 VA Center,,Augusta,ME,4330,207-623-8411 x,207-623-5792 x,207-623-8411 x4314,207-623-8411 x5770,207-623-8411 x5688,207-623-5760 x,44.27961576,-69.70395198,24/7,24/7,24/7,24/7,24/7,24/7,24/7,Administrative hours 8 a.m. to 4:30 p.m.  We are closed weekends and all federal holidays.  Emergency Care: 24 hours a day 7 days a week.
402GA,Caribou VA Clinic,Caribou,Primary Care CBOC,163 Van Buren Road,Suite 6,Caribou,ME,4736,207-493-3800 x,207-493-3877 x,866-757-7503 x,207-623-8411 x5770,207-626-4743 x,207-623-5760 x,46.87802649,-68.00939541,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
402GB,Calais VA Clinic,Calais,Primary Care CBOC,50 Union Street,,Calais,ME,4619,207-904-3700 x,207-904-3777 x,866-757-7503 x,207-623-8411 x5770,207-626-4743 x,207-623-5760 x,45.18945152,-67.28073225,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
402GC,Rumford VA Clinic,Rumford,Primary Care CBOC,431 Franklin Street,,Rumford,ME,4276,207-369-3200 x,207-369-3277 x,866-757-7503 x,207-623-8411 x5770,207-626-4743 x,207-623-5760 x,44.55185476,-70.55746925,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
402GD,Saco VA Clinic,Saco,Primary Care CBOC,655 Main Street,,Saco,ME,4072,207-294-3100 x,207-286-3709 x,866-757-7503 x,207-623-8411 x5770,207-626-4743 x,207-623-5760 x,43.51456191,-70.42944456,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
402GE,Lewiston VA Clinic,Lewiston Auburn,Primary Care CBOC,15 Challenger Drive,,Lewiston,ME,4240,207-623-8411 x3900,207-621-7383 x,866-757-7503 x,207-623-8411 x5770,207-626-4743 x,207-623-5760 x,44.07038645,-70.19057509,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
402GF,Lincoln VA Clinic,Lincoln,Primary Care CBOC,99 River Road,,Lincoln,ME,4457,207-623-8411 x,207-621-4844 x,888-838-6446 x,207-623-5353 x,207-623-8411 x4743,207-623-5760 x,45.35720603,-68.5405677,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
402HB,Bangor VA Clinic,Bangor,Multi-Specialty CBOC,35 State Hospital Street,,Bangor,ME,4401,207-561-3600 x,207-947-1862 x,866-757-7503 x,207-623-8411 x5770,207-626-4743 x,207-623-5760 x,44.81278679,-68.7411736,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
402HC,Portland VA Clinic,Portland,Primary Care CBOC,144 Fore Street,Suite 200,Portland,ME,4101,207-623-8411 x3101,207-771-3577 x,866-757-7503 x,207-623-8411 x5770,207-626-4743 x,207-623-5760 x,43.66095313,-70.24791054,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,800AM-430PM,-,-,We are closed weekends and all federal holidays.
402HL,Bingham VA Mobile Clinic,Bingham Mobile,Other Outpatient Services (OOS),241 Main Street,,Bingham,ME,4920,866-961-9263 x,866-913-0764 x,866-757-7503 x,207-623-8411 x5770,207-626-4743 x,207-623-5760 x,45.05309496,-69.88230894,-,730AM-400PM,730AM-400PM,-,-,-,-,We are open Tuesdays and Wednesdays only.  We are closed all federal holidays.
