facility_id,location_descriptive_name_common_name,official_station_name,street_address,city,state,zip_code,station_phone_number,station_fax_number,cemetery_type,cemetery_operations,latitude,longitude
970,Louisiana National Cemetery Annex,Louisiana National Cemetery Annex,303 W. Mount Pleasant Road,Zachart,LA,70791,,,National,Open,30.64672776,-91.25421321
1000,Spanish Fort State Veterans Cemetery,Spanish Fort,30904 State Highway 225,Spanish Fort,AL,36527,,,State,Open,30.674286,-87.90563913
1001,Southern Arizona Veterans' Memorial State Cemetery,Southern Arizona Veterans' Memorial Cemetery,1300 Buffalo Soldier Trail,Sierra Vista,AZ,85635,,,State,Open,31.54122204,-110.3008378
1002,Monte Calvario State Cemetery,Tucson,5149 W. Omokol,Tucson,AZ,85757,,,State,Open,32.13798426,-111.0975475
1003,Arkansas Veterans State Cemetery at Birdeye,Birdeye,3600 Highway 163,Cherry Valley,AR,72324,,,State,Open,35.39983918,-90.67734736
1004,Arkansas Veterans State Cemetery,Arkansas Veterans Cemetery,1501 W Maryland Ave,Sherwood,AR,72120,,,State,Open,34.84092945,-92.25346279
1005,Yurok Veterans State Cemetery,Yurok Veterans Cemetery,,Humboldt,CA,95546,,,State,Open,41.198831,-123.784175
1006,Northern California Veterans State Cemetery,Northern California Veterans Cemetery,11800 Gas Point RD,Igo,CA,96047-0076,,,State,Open,40.48968764,-122.5499167
1007,Western Colorado Memorial Veterans State Cemetery,Veterans Memorial Cemetery Of Western Colorado,2830 D Rd,Grand Junction,CO,81501,,,State,Open,39.06298092,-108.5286878
1008,Middletown Veterans State Cemetery,Middletown Veterans Cemetery,287 West St,Rocky Hill,CT,06106,,,State,Open,41.65335663,-72.65106319
1009,New Castle County Cemetery/ Bear State Cemetery,New Castle County Cemetery/ Bear Cemetery,2465 Chesapeake City Rd,Bear,DE,19701-2344,,,State,Open,39.54832297,-75.7438729
1010,Sussex County Cemetery / Millsboro State Cemetery,Sussex County Cemetery / Millsboro Cemetery,26669 Patriots Way,Millsboro,DE,19966,,,State,Open,38.61426112,-75.3165921
1011,Georgia Memorial Veterans State Cemetery at Glennville,Georgia Veterans Memorial Cemetery - Glennville,8819 US Highway 301,Glenville,GA,30427,,,State,Open,31.960008,-81.925838
1012,Georgia Memorial Veterans State Cemetery,Georgia Veterans' Memorial Cemetery,2617 Vinson Hwy SE,Milledgeville,GA,31061,,,State,Open,33.01754481,-83.19758146
1013,Guam Veterans State Cemetery,Guam Veterans Cemetery,490 Chalan Palosjo,Agatna Heights,GU,96910,,,State,Open,13.466586,144.742823
1014,Kauai Veterans State Cemetery,Kauai Veterans Cemetery,4331 Lele Road,Hanapepe,HI,96716,,,State,Open,22.02111032,-159.5794132
1015,East Hawaii Veterans State Cemetery-No I (Closed),East Hawaii Veterans Cemetery-No I,25 Aupuni St,Hilo,HI,96720,,,State,Closed,19.71907352,-155.0788798
1016,East Hawaii Veterans State Cemetery-No II,East Hawaii Veterans Cemetery-No. II,110 Laimana Street,Hilo,HI,96721,,,State,Open,19.71421031,-155.0425602
1017,Molokai Veterans State Cemetery,Molokai Veterans Cemetery,2725 Lihi Pali Avenue,Hoolehua,HI,96748,,,State,Open,21.10628776,-156.893965
1018,West Hawaii Veterans State Cemetery,West Hawaii State Veterans Cemetery,72-3245 Queen Kaahumanu Highway,Kailua-Kona,HI,96740,,,State,Open,19.70929997,-156.0336924
1019,Hawaii Veterans State Cemetery (Oahu),Hawaii State Veterans Cemetery (Oahu),45-349 Kamehameha Hwy,Kaneohe,HI,96744,,,State,Open,21.38822983,-157.7937037
1020,Lanai Veterans State Cemetery,Lanai Veterans Cemetery,Cemetery Rd.,Lanai City,HI,96763,,,State,Open,20.847403,-156.921511
1021,Maui Veterans State Cemetery,Maui Veterans Cemetery,3355 Baldwin Avenue,Makawao,HI,96786,,,State,Open,20.86120612,-156.3139032
1022,Idaho Veterans State Cemetery,Idaho Veterans Cemetery,10100 Horseshoe Bend Rd,Boise,ID,83714,,,State,Open,43.69559856,-116.3138409
1023,Sunset Cemetery State Cemetery,Sunset Cemetery,1707 N 12th St,Quincy,IL,62301,,,State,Open,39.95080715,-91.39663325
1024,Indiana Memorial Veterans State Cemetery,Indiana Veterans Memorial Cemetery,1415 North Gate Road,Madison,IN,47250,,,State,Open,38.75702741,-85.40210201
1025,Iowa Veterans State Cemetery,Iowa Veterans Cemetery,34024 Veterans Memorial Drive,Adel,IA,50003,,,State,Open,41.608467,-94.01992498
1026,Kansas Veterans State Cemetery At Fort Dodge,Kansas Veterans' Cemetery At Fort Dodge,11560 US Highway 400,Dodge City,KS,67801,,,State,Open,37.75970099,-100.0198537
1027,Kansas Veterans State Cemetery at Ft. Riley,Kansas Veterans' Cemetery at Ft. Riley,5181 Wildcat Creek Road,Manhattan,KS,66503-9616,,,State,Open,39.13415639,-96.68191237
1028,Kansas Veterans State Cemetery At Wakeeney,Kansas Veterans' Cemetery At Wakeeney,4035 13th Street,Wakeeney,KS,67672,,,State,Open,39.02539262,-99.88528643
1029,Kansas Veterans State Cemetery At Winfield,Kansas Veterans' Cemetery At Winfield,1208 North College,Winfield,KS,67156,,,State,Open,37.24262305,-96.98070148
1030,Kentucky Veterans State Cemetery - North East,Greenup,100 Veterans Memorial Drive,Grayson,KY,41143,,,State,Open,38.32677803,-82.94739131
1031,West Kentucky Veterans State Cemetery,Kentucky Veterans Cemetery-West,5817 Fort Campbell Blvd,Hopkinsville,KY,42240,,,State,Open,36.80356771,-87.47142506
1032,Central Kentucky Veterans State Cemetery,Kentucky Veterans Cemetery -- Central,2501 North Dixie Blvd,Radcliff,KY,40160,,,State,Open,37.84853174,-85.94638034
1033,North Kentucky Veterans State Cemetery,Kentucky Veterans Cemetery -- North,205 Eibeck La,Williamstown,KY,41097,,,State,Open,38.60807894,-84.57483766
1034,Northwest Louisiana Veterans State Cemetery,Northwest Louisiana Veterans Cemetery,7970 Mike Clark Rd.,Keithville,LA,71047,,,State,Open,32.32461102,-93.88232103
1035,Central Louisiana Veterans Cemetery,Leesville,3348 University Parkway,Leesville,LA,71446,,,State,Open,31.12482811,-93.26090339
1036,Southeast Louisiana Veterans Cemetery,Slidell,3488 Grantham College Rd.,Slidell,LA,70460,,,State,Open,30.310458,-89.81292559
1037,Maine Veterans' Memorial State Cemetery,Augusta (Civic Center Dr.),129 Blue Star Ave. ,Augusta,ME,04330,,,State,Closed,44.33295242,-69.7610696
1038,Main Veterans' Memorial State Cemetery,Augusta (Mt. Vernon Rd.),163 Mt. Vernon Road,Augusta,ME,04330,,,State,Open,44.35229474,-69.81460686
1039,Northern Maine Veterans State Cemetery,Northern Maine Veterans' Cemetery-Caribou,37 Lombard Rd,Caribou,ME,04736,,,State,Open,46.85137685,-68.0430277
1040,Maine State Cemetery,Maine State Cemetery,83 Stanley Road,Springvale,ME,04083,,,State,Open,43.48113782,-70.80859189
