facility_id,original_facility_id,location_descriptive_name_common_name,street_address,suite_building_number,city,state,zip_code,station_phone_number,station_fax_number,latitude,longitude,monday_hours,tuesday_hours,wednesday_hours,thursday_hours,friday_hours,saturday_hours,sunday_hours,hours_note
VBA1,402,Togus Regional Benefit Office,1 VA Center,Bldg. 248,Augusta,ME,4330,1-800-827-1000,207-621-4898,44.280419,-69.704432,8:30 am - 4:00 pm,8:30 am - 4:00 pm,8:30 am - 4:00 pm,8:30 am - 4:00 pm,8:30 am - 4:00 pm,Closed,Closed,
VBA2,329,Detroit Regional Office,477 Michigan Avenue,12th Floor,Detroit,MI,48226,313-471-3600,313-471-3633,42.331332,-83.0534,8:00am - 4:30pm,8:00am - 4:30pm,8:00am - 4:30pm,8:00am - 4:30pm,8:00am - 4:30pm,CLOSED,CLOSED,CLOSED ON FEDERAL HOLIDAYS_
VBA3,377,VA San Diego Regional Office,8810 Rio San Diego Drive,,San Diego,CA,92108,619-400-5400,619-400-5418,32.776995,-117.14077,8 am - 4 pm,8 am - 4 pm,8 am - 4 pm,8 am - 4 pm,8 am - 4 pm,N/A,N/A,_Closed on federal holidays
VBA4,345,Phoenix VR&E Tucson Office,"Department of Veterans Affairs, VR&E (28)","1360 W. Irvington Rd., Ste. 150",Tucson,Arizona,85746,(602) 627-0020,(520) 294-3628,32.164927,-110.993764,8am - 4 pm,8am - 4 pm,8am - 4 pm,8am - 4 pm,8am - 4 pm,Closed,Closed,
VBA5,345,VR&E Flagstaff Office,"Department of Veterans Affairs, VR&E (28) ","1338 W Forest Meadows St, Suite 130",Flagstaff,Arizona,86001,928-226-1845,928-226-1846,35.184863,-111.671169,8 am - 4 pm,8 am - 4 pm,8 am - 4 pm,8 am - 4 pm,8 am - 4 pm,Closed,Closed,
VBA6,None,VBA Vocational Rehabilitation and Employment,21885 Dunham Road,,Clinton Township,MI,48036,5864695454,5864695316,42.617587,-82.898552,8:00am - 4:30pm,8:00am - 4:30pm,8:00am - 4:30pm,8:00am - 4:30pm,8:00am - 4:30pm,CLOSED,CLOSED,CLOSED FEDERAL HOLIDAYS
VBA7,None,VBA Vocational Rehabilitation and Employment,Gerald R. Ford Federal Building,110 Michigan Street,Grand Rapids ,MI,49503,616-456-2057,616-456-2921,42.969761,-85.670841,8:00am - 4:30pm,8:00am - 4:30pm,8:00am - 4:30pm,8:00am - 4:30pm,8:00am - 4:30pm,CLOSED,CLOSED,CLOSED ON FEDERAL HOLIDAY_
VBA8,None,VBA Vocational Rehabilitation and Employment,Oscar G. Johnson VA Medical Center,"25 East ""H"" Street, Room 6206B",Iron Mountain,MI,49801,906-779-3984,906-779-3983,32.638106,-117.06396,8:00am - 4:30pm,8:00am - 4:30pm,8:00am - 4:30pm,8:00am - 4:30pm,8:00am - 4:30pm,CLOSED,CLOSED,CLOSED ON FEDERAL HOLIDAYS_
VBA9,437,Fargo VA Regional Benefits Office,2101 Elm Street,,Fargo,ND,58102,800-827-100,701-451-4689,46.905979,-96.775124,8 am to 4 pm,8 am to 4 pm,8 am to 4 pm,8 am to 4 pm,8 am to 4 pm,closed,closed,
VBA10,None,VBA Vocational Rehabilitation and Employment,3001 Coolidge Road,Suite 401,East Lansing ,MI,48823,517-203-0945,517-203-0954,42.76568,-84.504468,8:00am - 4:30pm,8:00am - 4:30pm,8:00am - 4:30pm,8:00am - 4:30pm,8:00am - 4:30pm,CLOSED,CLOSED,CLOSED ON FEDERAL HOLIDAYS_
VBA11,None,VBA Vocational Rehabilitation and Employment,200 N. Main Street,Room 310,Mt. Pleasant,MI,48858,989-953-7164,989-953-7161,43.605689,-84.775804,8:00am - 4:30pm,8:00am - 4:30pm,8:00am - 4:30pm,8:00am - 4:30pm,8:00am - 4:30pm,CLOSED,CLOSED,CLOSED ON FEDERAL HOLIDAYS_
VBA12,None,VBA Vocational Rehabilitation and Employment,VA Health Care Annex,"5360 Hampton Place, Suite 200",Saginaw,MI,48604,989-497-2500,989-321-4922,43.484861,-83.958506,8:00am - 4:30pm,8:00am - 4:30pm,8:00am - 4:30pm,8:00am - 4:30pm,8:00am - 4:30pm,CLOSED,CLOSED,CLOSED ON FEDERAL HOLIDAYS_
