facility_id,service_level_1,service_level_2
VBA1,Applying for benefits,
VBA1,Career counseling,
VBA1,School assistance,
VBA1,Vocational rehabilitation career assistance,
VBA1,Homeless assistance,
VBA1,eBenefits Logon assistance,
VBA1,Burial Claim assistance,
VBA1,Updating direct deposit information,
VBA1,Survivor claim assistance,
VBA1,Vocational rehabilitation claim assistance,
VBA1,Updating contact information,
VBA1,Disability claim assistance,
VBA1,Employment assistance,
VBA1,Education claim assistance,
VBA2,Applying for benefits,
VBA2,Vocational rehabilitation career assistance,
VBA2,Employment assistance,
VBA2,Disability claim assistance,
VBA2,Vocational rehabilitation claim assistance,
VBA2,Updating direct deposit information,
VBA2,Burial Claim assistance,
VBA2,eBenefits Logon assistance,
VBA2,Homeless assistance,
VBA2,Updating contact information,
VBA2,Survivor claim assistance,
VBA3,Applying for benefits,
VBA3,Career counseling,
VBA3,Vocational rehabilitation career assistance,
VBA3,Pre-discharge assistance,
VBA3,Employment assistance,
VBA3,Financial counseling,
VBA3,Disability claim assistance,
VBA3,Vocational rehabilitation claim assistance,
VBA3,Survivor claim assistance,
VBA3,Updating contact information,
VBA3,Updating direct deposit information,
VBA3,Burial Claim assistance,
VBA3,eBenefits Logon assistance,
VBA3,Homeless assistance,
VBA4,Vocational rehabilitation career assistance,
VBA4,Integrated Disability Evaluation System assistance,
VBA4,eBenefits Logon assistance,
VBA4,Updating direct deposit information,
VBA4,Updating contact information,
VBA4,Transition assistance,
VBA4,Employment assistance,
VBA4,Disability claim assistance,
VBA4,Vocational rehabilitation claim assistance,
VBA4,Homeless assistance,
VBA4,Pre-discharge assistance,
VBA4,Career counseling,
VBA4,Applying for benefits,
VBA5,Applying for benefits,
VBA5,Career counseling,
VBA5,Vocational rehabilitation career assistance,
VBA5,Transition assistance,
VBA5,Pre-discharge assistance,
VBA5,Employment assistance,
VBA5,Disability claim assistance,
VBA5,Vocational rehabilitation claim assistance,
VBA5,Updating contact information,
VBA5,Updating direct deposit information,
VBA5,eBenefits Logon assistance,
VBA5,Integrated Disability Evaluation System assistance,
VBA5,Homeless assistance,
VBA6,Vocational rehabilitation claim assistance,
VBA6,Vocational rehabilitation career assistance,
VBA7,Vocational rehabilitation career assistance,
VBA7,Vocational rehabilitation claim assistance,
VBA8,Vocational rehabilitation career assistance,
VBA8,Vocational rehabilitation claim assistance,
VBA9,Applying for benefits,
VBA9,Pre-discharge assistance,
VBA9,Disability claim assistance,
VBA9,Education claim assistance,
VBA9,Insurance claim assistance,
VBA9,Survivor claim assistance,
VBA9,Updating contact information,
VBA9,Updating direct deposit information,
VBA9,Burial Claim assistance,
VBA9,eBenefits Logon assistance,
VBA9,Integrated Disability Evaluation System assistance,
VBA9,Homeless assistance,
VBA9,Housing assistance,
VBA9,Transition assistance,
VBA9,Financial counseling,
VBA10,Vocational rehabilitation career assistance,
VBA10,Employment assistance,
